0	1
11	37
11	49
11	64
11	83
11	87
11	94
11	96
11	100
11	105
11	121
9	38
9	54
9	58
9	60
9	62
9	91
9	92
9	101
9	105
9	117
3	3
3	5
3	7
3	8
3	11
3	13
3	18
3	22
3	27
3	28
15	1
15	52
15	107
15	140
15	146
15	149
15	150
15	151
15	155
15	157
14	9
14	10
14	43
14	45
14	48
14	63
14	66
14	68
14	71
14	72
2	15
2	44
2	67
2	74
2	78
2	80
2	93
2	102
2	122
2	124
4	26
4	31
4	41
4	51
4	75
4	81
4	84
4	85
4	103
4	104
8	19
8	21
8	32
8	39
8	42
8	46
8	47
8	55
8	56
8	57
6	116
6	127
6	132
6	134
6	137
6	139
6	141
6	142
6	143
6	144
1	4
1	6
1	12
1	14
1	16
1	18
1	20
1	29
1	30
1	36
10	17
10	24
10	33
10	50
10	53
10	59
10	77
10	89
10	90
10	95
13	82
13	86
13	88
13	97
13	98
13	99
13	115
13	119
13	120
13	125
12	0
12	23
12	25
12	34
12	61
12	69
12	70
12	73
12	76
12	79
0	108
0	118
0	123
0	126
0	129
0	130
0	131
0	135
0	136
0	138
7	2
7	35
7	40
7	106
7	109
7	111
7	112
7	113
7	114
7	128
5	65
5	110
5	133
5	145
5	147
5	148
5	152
5	153
5	154
5	156
